START TIME:2025-08-06 11:36:52,
31.119,1377215
31.158,1377521
31.199,1377668
31.239,1378043
31.277,1378299
31.319,1378595
31.357,1379029
31.399,1379344
31.435,1379837
31.469,1380508
31.504,1380567
31.547,1380735
31.581,1381109
31.616,1381376
31.658,1381563
31.693,1381484
31.727,1381317
31.769,1381819
31.804,1381908
31.846,1382036
31.881,1382115
31.916,1382352
31.958,1382598
31.993,1382854
32.035,1382815
32.07,1383081
32.104,1383180
32.139,1383268
32.18,1383387
32.215,1383613
32.251,1383751
32.291,1383830
32.331,1383929
32.369,1383929
32.411,1383948
32.449,1384185
32.491,1384234
32.529,1384323
32.57,1384520
32.608,1384580
32.65,1384777
32.685,1384964
32.72,1384807
32.761,1384895
32.796,1384954
32.831,1384925
32.866,1384806
32.908,1384816
32.942,1384836
32.977,1384935
33.019,1385023
33.056,1385073
33.097,1384965
33.134,1385004
33.176,1385063
33.213,1385172
33.247,1385181
33.289,1385102
33.324,1385102
33.367,1385447
33.405,1385546
33.447,1385378
33.487,1385201
33.525,1385221
33.567,1385309
33.603,1385181
33.645,1384905
33.682,1385162
33.723,1385290
33.759,1385507
33.793,1385596
33.828,1385477
33.869,1385714
33.903,1385734
33.938,1385526
33.98,1385507
34.016,1385319
34.058,1385260
34.095,1385378
34.137,1385309
34.173,1385329
34.207,1385398
34.249,1385546
34.284,1385595
34.326,1385753
34.36,1385704
34.395,1385605
34.437,1385734
34.471,1385645
34.506,1385665
34.548,1385635
34.582,1385398
34.617,1385526
34.659,1385605
34.694,1385566
34.731,1385753
34.77,1385605
34.81,1385822
34.849,1385980
34.89,1385793
34.927,1385960
34.969,1385980
35.006,1385950
35.041,1386118
35.082,1385960
35.117,1385911
35.152,1386079
35.187,1385891
35.228,1385960
35.262,1385941
35.297,1385931
35.338,1386079
35.377,1386167
35.417,1386236
35.456,1386355
35.496,1386226
35.535,1386167
35.575,1386138
35.615,1386079
35.655,1385941
35.694,1385665
35.735,1385694
35.774,1385773
35.814,1385822
35.853,1386010
35.893,1385970
35.933,1386039
35.972,1386128
36.012,1385911
36.051,1385891
36.091,1385852
36.129,1385477
36.171,1385329
36.209,1385250
36.249,1385408
36.288,1385556
36.329,1385536
36.367,1385605
36.408,1385763
36.446,1386049
36.481,1386029
36.522,1385891
36.558,1385931
36.592,1385950
36.627,1385950
36.669,1385940
36.704,1385901
36.739,1386088
36.78,1386315
36.815,1386147
36.85,1386019
36.891,1385990
36.926,1386098
36.969,1385891
37.007,1385832
37.048,1385625
37.088,1385655
37.128,1385803
37.169,1385724
37.207,1385714
37.248,1385881
37.286,1385803
37.32,1386000
37.354,1386079
37.395,1386069
37.43,1386108
37.465,1385960
37.507,1385862
37.542,1386000
37.577,1385960
37.619,1386000
37.653,1385950
37.688,1386138
37.729,1386493
37.764,1386552
37.799,1386433
37.841,1386374
37.875,1386394
37.91,1386473
37.952,1386483
37.986,1386345
38.022,1386660
38.062,1386611
38.102,1386483
38.14,1386364
38.181,1386384
38.22,1386305
38.26,1386138
38.3,1385990
38.34,1386157
38.378,1386207
38.419,1386157
38.458,1386078
38.492,1386078
38.532,1386177
38.568,1385980
38.602,1385842
38.637,1385901
38.679,1386029
38.714,1386266
38.748,1386148
38.791,1386157
38.826,1386276
38.86,1386276
38.903,1386512
38.937,1386512
38.979,1386236
39.014,1386404
39.048,1386305
39.09,1386364
39.125,1386502
39.159,1386207
39.194,1386364
39.235,1386453
39.27,1386335
39.305,1386424
39.345,1386384
39.385,1386315
39.425,1386355
39.464,1386118
39.504,1386276
39.544,1386404
39.583,1386502
39.623,1386355
39.663,1386502
39.703,1386611
39.742,1386670
39.782,1386690
39.822,1386611
39.861,1386512
39.902,1386838
39.941,1386680
39.981,1386571
40.02,1386591
40.059,1386552
40.1,1386640
40.139,1386709
40.179,1386522
40.219,1386749
40.259,1386542
40.297,1386670
40.339,1386601
40.375,1386512
40.417,1386512
40.455,1386532
40.49,1386335
40.531,1386709
40.566,1386690
40.601,1386640
40.635,1386847
40.677,1386634
40.712,1386488
40.746,1386311
40.788,1386065
40.824,1385703
40.866,1385304
40.902,1384803
40.944,1384488
40.981,1384118
41.024,1383803
41.059,1383311
41.094,1383057
41.136,1382780
41.171,1382419
41.206,1382011
41.247,1381726
41.282,1381380
41.316,1381188
41.357,1380711
41.392,1380418
41.427,1380249
41.468,1380126
41.502,1379918
41.544,1379611
41.579,1379303
41.613,1379242
41.654,1379134
41.689,1378788
41.724,1378603
41.758,1378403
41.799,1378257
41.834,1378226
41.87,1378011
41.909,1377857
41.95,1377841
41.989,1377603
42.028,1377403
42.066,1377380
42.108,1377133
42.146,1377249
42.187,1377087
42.225,1376972
42.26,1376972
42.3,1376918
42.337,1376711
42.379,1376795
42.417,1376633
42.458,1376487
42.496,1376310
42.537,1376187
42.576,1376011
42.611,1376057
42.646,1375895
42.687,1375634
42.722,1375718
42.758,1375749
42.798,1375849
42.838,1376072
42.877,1375965
42.916,1375726
42.956,1375826
42.996,1375680
43.034,1375465
43.076,1375257
43.113,1374926
43.155,1374811
43.193,1374949
43.227,1374779
43.27,1374680
43.304,1374680
43.346,1374472
43.381,1374587
43.416,1374657
43.451,1374618
43.493,1374557
43.527,1374680
43.562,1374649
43.603,1374811
43.641,1374757
43.68,1374572
43.721,1374564
43.76,1374618
43.8,1374510
43.839,1374610
43.88,1374449
43.917,1374364
43.959,1374510
43.995,1374380
44.03,1374449
44.071,1374426
44.107,1374211
44.148,1374326
44.185,1374264
44.227,1374103
44.264,1374010
44.305,1373948
44.343,1373948
44.384,1373987
44.42,1373887
44.455,1373934
44.489,1374080
44.53,1374157
44.564,1373987
44.6,1373841
44.641,1373918
44.679,1373964
44.72,1373980
44.759,1373833
44.8,1373864
44.838,1373826
44.879,1373841
44.918,1373825
44.959,1373841
44.996,1373810
45.038,1373825
45.075,1373833
45.116,1373972
45.153,1374049
45.196,1373872
45.232,1373725
45.274,1373495
45.31,1373541
45.353,1373511
45.388,1373487
45.423,1373387
45.464,1373549
45.499,1373572
45.534,1373934
45.575,1373895
45.609,1373649
45.644,1373703
45.686,1373710
45.72,1373649
45.755,1373679
45.796,1373402
45.831,1373418
45.866,1373672
45.907,1373518
45.944,1373565
45.987,1373495
46.023,1373364
46.057,1373441
46.099,1373402
46.134,1373356
46.169,1373348
46.21,1373264
46.245,1373302
46.279,1373426
46.321,1373418
46.355,1373287
46.39,1373287
46.432,1373333
46.466,1373272
46.502,1373364
46.543,1373272
46.582,1373171
46.62,1373341
46.661,1373179
46.7,1373156
46.741,1373264
46.78,1372949
