START TIME:2025-08-06 10:43:44,
97.623,1367174
97.662,1367906
97.703,1368118
97.741,1367916
97.782,1368232
97.819,1368133
97.861,1368034
97.899,1368247
97.94,1369082
97.977,1368360
98.011,1368157
98.046,1368058
98.088,1368063
98.122,1367237
98.157,1367450
98.198,1368285
98.234,1368393
98.277,1367983
98.313,1368196
98.355,1368201
98.392,1367583
98.435,1367588
98.47,1368008
98.512,1368947
98.549,1368952
98.59,1369164
98.627,1368858
98.669,1368448
98.706,1368453
98.748,1369080
98.784,1370123
98.827,1370543
98.863,1371274
98.905,1371072
98.941,1371077
98.984,1370252
99.02,1370879
99.062,1370365
99.099,1370785
99.141,1370790
99.177,1370899
99.219,1370385
99.256,1370598
99.299,1370603
99.334,1371126
99.369,1371546
99.411,1371862
99.446,1372697
99.48,1372702
99.523,1372707
99.557,1373334
99.6,1373961
99.635,1374381
99.669,1374386
99.711,1374390
99.746,1373254
99.78,1373051
99.822,1372329
99.856,1371815
99.895,1371820
99.932,1372759
99.973,1372764
100.011,1373391
100.053,1373915
100.09,1373920
100.125,1373510
100.166,1373722
100.201,1372689
100.236,1372486
100.271,1373528
100.312,1373844
100.346,1373226
100.381,1373853
100.421,1374066
100.46,1373552
100.501,1374076
100.539,1374703
100.581,1375020
100.619,1375440
100.66,1374926
100.699,1374723
100.739,1374313
100.779,1374422
100.818,1374427
100.858,1375055
100.898,1374852
100.938,1375065
100.977,1374862
101.018,1374660
101.057,1374872
101.097,1375085
101.135,1374779
101.176,1374576
101.213,1374477
101.254,1373652
101.293,1373242
101.327,1372832
101.368,1373044
101.405,1373152
101.439,1372949
101.473,1372539
101.515,1372959
101.55,1372548
101.584,1372138
101.626,1371416
101.661,1371006
101.696,1370907
101.738,1371015
101.772,1370709
101.815,1371440
101.853,1371342
101.893,1371035
101.933,1370625
101.972,1370423
102.013,1369701
102.051,1369498
102.085,1368673
102.119,1367848
102.161,1367645
102.195,1367649
102.229,1367447
102.27,1367866
102.308,1367871
102.35,1367669
102.386,1367674
102.429,1367471
102.464,1366853
102.499,1366858
102.541,1366966
102.576,1366349
102.61,1366561
102.652,1366151
102.687,1365740
102.728,1365226
102.763,1365231
102.797,1364924
102.839,1365136
102.873,1365037
102.907,1365042
102.949,1365151
102.984,1365259
103.024,1365056
103.061,1365373
103.102,1365274
103.139,1365175
103.173,1365387
103.214,1365495
103.251,1364774
103.285,1364675
103.32,1364264
103.361,1363854
103.396,1363962
103.431,1364382
103.473,1364387
103.509,1364807
103.551,1364708
103.588,1364920
103.63,1364822
103.666,1364827
103.708,1365039
103.744,1365770
103.786,1365775
103.823,1365365
103.865,1365785
103.901,1364856
103.936,1364031
103.977,1364036
104.012,1364663
104.055,1364668
104.092,1365192
104.134,1365612
104.175,1365410
104.212,1365415
104.254,1365005
104.292,1365010
104.334,1364807
104.372,1364605
104.414,1365129
104.451,1365341
104.492,1365346
104.529,1365143
104.563,1365355
104.598,1364945
104.64,1364950
104.675,1364747
104.71,1365063
104.752,1365379
104.786,1365798
104.821,1365596
104.863,1365600
104.897,1365709
104.932,1364676
104.974,1363954
105.008,1363232
105.043,1363237
105.083,1362723
105.118,1363143
105.152,1363355
105.195,1363879
105.23,1363883
105.269,1363992
105.307,1363997
105.348,1363483
105.386,1363488
105.421,1363181
105.462,1362356
105.497,1362153
105.531,1361950
105.566,1362162
105.608,1362582
105.642,1363417
105.677,1363006
105.719,1363218
105.754,1362497
105.789,1362087
105.831,1362091
105.866,1362926
105.9,1362827
105.942,1363351
105.976,1363563
106.018,1363464
106.052,1362950
106.087,1362954
106.128,1362129
106.163,1361407
106.197,1360374
106.239,1360275
106.274,1360695
106.316,1360804
106.351,1361120
106.392,1361747
106.428,1361752
106.47,1361342
106.508,1361451
106.542,1361248
106.582,1360838
106.619,1360635
106.653,1360536
106.688,1360852
106.73,1360649
106.764,1360653
106.799,1360866
106.841,1360870
106.877,1360356
106.92,1360569
106.956,1360159
106.998,1359749
107.034,1359131
107.077,1359240
107.113,1359037
107.155,1359561
107.191,1358944
107.234,1359364
107.27,1359680
107.305,1358751
107.346,1358755
107.381,1359072
107.423,1358558
107.461,1358044
107.502,1358360
107.543,1358054
107.582,1357955
107.622,1357441
107.66,1357135
107.701,1356932
107.74,1356730
107.774,1357150
107.816,1357881
107.851,1357782
107.885,1358098
107.927,1358102
107.962,1357381
108,1357386
108.038,1356975
108.08,1356461
108.116,1356259
108.151,1356056
108.192,1355542
108.226,1355961
108.261,1356277
108.295,1356489
108.337,1356390
108.372,1356602
108.407,1357230
108.447,1357754
108.487,1357343
108.527,1357971
108.565,1357353
108.606,1356528
108.645,1356533
108.685,1356850
108.724,1357373
108.763,1357586
108.803,1358006
108.843,1358219
108.882,1358742
108.922,1357814
108.962,1358234
109,1358031
109.041,1357932
109.079,1357315
109.12,1357839
109.159,1357740
109.2,1357952
109.237,1357231
109.279,1357651
109.317,1357760
109.351,1357557
109.392,1357354
109.428,1357047
109.462,1356429
109.496,1355708
109.537,1355816
109.571,1355094
109.607,1355618
109.648,1355519
109.687,1355109
109.728,1354803
109.766,1355327
109.807,1354813
109.845,1354714
109.886,1355445
109.924,1355762
109.965,1355767
110.004,1355875
110.045,1355465
110.084,1354744
110.125,1353815
110.164,1353094
110.205,1352373
110.242,1352170
110.284,1352487
110.321,1352284
110.363,1352600
110.399,1352605
110.441,1352299
110.478,1351577
110.52,1351998
110.556,1351276
110.599,1351385
110.635,1351390
110.67,1351187
110.712,1350673
110.747,1350885
110.788,1351513
110.827,1351933
110.868,1351212
110.908,1351321
110.948,1350911
110.989,1349774
111.027,1349779
111.068,1350822
111.107,1351138
111.147,1351766
111.186,1352082
111.228,1352295
111.265,1352611
111.306,1352512
111.344,1353036
111.385,1353560
111.422,1353772
111.464,1354089
111.502,1355131
111.543,1355344
111.581,1355660
111.622,1355976
111.661,1355878
111.702,1355053
111.741,1354643
111.781,1354129
111.819,1353823
111.861,1353931
111.899,1353936
111.94,1353319
111.978,1353531
112.02,1353536
112.058,1353541
112.099,1353858
112.138,1354589
112.172,1354490
112.207,1354494
112.249,1354499
112.283,1353570
112.32,1353471
112.36,1353891
112.4,1354207
112.439,1353797
112.478,1354217
112.517,1353911
112.557,1353397
112.597,1352883
112.636,1353511
112.677,1353723
112.715,1353313
112.756,1354045
112.794,1354050
112.836,1354262
112.873,1353645
112.915,1354583
112.951,1353966
112.985,1354489
113.027,1353767
113.061,1355121
113.096,1355126
113.137,1355234
113.172,1354720
113.206,1354517
113.247,1353692
113.281,1353178
113.316,1353597
113.359,1353810
113.393,1353607
113.43,1353508
113.468,1353513
113.51,1352895
113.547,1352900
113.589,1353113
113.625,1353117
113.667,1353538
113.705,1354269
113.746,1354377
113.784,1354590
113.818,1355113
113.859,1354911
113.895,1354189
113.936,1353883
113.974,1353888
114.015,1354308
114.051,1354624
114.086,1355355
114.12,1355359
114.161,1355779
114.196,1355369
114.23,1354854
114.272,1354340
114.308,1354656
114.343,1354142
114.384,1353836
114.419,1354359
114.454,1354364
114.495,1354576
114.529,1355203
114.563,1355104
114.605,1355005
114.639,1355425
114.673,1355533
114.715,1354915
114.749,1354920
114.786,1355236
114.826,1354826
114.864,1354727
114.906,1355562
114.943,1356190
114.985,1356195
115.022,1357133
115.064,1357035
115.101,1356832
115.135,1356940
115.177,1356738
115.211,1356327
115.246,1357058
115.288,1357063
115.322,1357586
115.357,1358006
115.399,1358426
115.433,1358430
115.467,1358539
115.509,1358336
115.543,1358341
115.578,1358138
115.619,1358143
115.657,1359082
115.697,1359502
115.737,1359714
115.775,1360030
115.815,1359620
115.855,1359210
115.894,1359319
115.935,1359428
115.972,1359744
116.014,1359957
116.05,1360377
116.092,1360485
116.128,1360386
116.171,1360495
116.206,1360915
116.241,1360401
116.282,1360613
116.317,1360618
116.352,1360934
116.393,1361354
116.428,1361462
116.47,1361052
116.505,1361472
116.539,1361269
116.58,1361273
116.614,1361901
