START TIME:2025-04-28 18:25:15,
34.099,1144299
34.134,1144382
34.176,1144259
34.21,1144407
34.252,1144360
34.287,1144256
34.329,1144400
34.364,1144375
34.4,1144414
34.441,1144419
34.476,1144348
34.512,1144383
34.547,1144529
34.588,1144525
34.622,1144486
34.66,1144394
34.699,1144420
34.74,1144540
34.778,1144524
34.82,1144420
34.857,1144595
34.9,1144468
34.935,1144387
34.978,1144591
35.013,1144550
35.048,1144487
35.09,1144526
35.125,1144708
35.16,1144661
35.203,1144688
35.238,1144573
35.273,1144601
35.314,1144677
35.349,1144640
35.389,1144722
35.424,1144716
35.467,1144602
35.503,1144685
35.538,1144628
35.58,1144729
35.615,1144786
35.65,1144640
35.686,1144545
35.726,1144671
35.761,1144704
35.799,1144611
35.837,1144639
35.879,1144512
35.916,1144627
35.95,1144658
35.992,1144575
36.027,1144699
36.062,1144739
36.103,1144682
36.138,1144685
36.173,1144536
36.214,1144626
36.249,1144700
36.292,1144694
36.327,1144632
36.37,1144746
36.405,1144755
36.44,1144660
36.483,1144623
36.518,1144792
36.553,1144770
36.595,1144667
36.631,1144675
36.666,1144724
36.706,1144824
36.741,1144773
36.782,1144677
36.818,1144800
36.861,1144704
36.897,1144748
36.931,1144823
36.974,1144787
37.009,1144726
37.044,1144780
37.085,1144840
37.12,1144872
37.155,1144849
37.197,1144790
37.231,1144830
37.273,1144850
37.309,1144797
37.352,1144970
37.388,1144875
37.423,1144828
37.466,1144879
37.5,1144917
37.535,1144965
37.577,1144812
37.612,1144842
37.647,1144906
37.688,1144856
37.723,1144774
37.765,1144826
37.8,1144921
37.843,1144720
37.879,1144801
37.914,1144852
37.956,1144774
37.991,1144803
38.027,1144736
38.062,1144885
38.101,1144866
38.136,1144784
38.175,1144871
38.212,1144915
38.255,1144790
38.292,1144759
38.327,1144862
38.369,1144851
38.404,1144828
38.439,1144889
38.482,1144880
38.516,1144787
38.551,1144826
38.594,1144938
38.629,1144850
38.672,1144778
38.708,1144761
38.75,1144961
38.789,1144901
